sentence,snippets,target,sentiment_score,aspects,format,label
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term","['We see slow, steady, unspectacular growth going forward near term']",GILD,0.422,['Stock/Fundamentals'],post,0
Auto Trader share price surges as company floats on LSE,['share price surges'],Auto Trader,0.655,['Stock/Price Action'],headline,0
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,['Stock price implies you pay nothing for the business'],SKX,0.298,['Stock/Price Action/Bullish'],post,0
Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,['Receives a Sell from'],WAC,-0.45,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
"$SLV -4.44% at 18 now AWFUL, down from 42.50","['AWFUL, down from 42.50']",SLV,-0.591,['Stock/Price Action/Bearish'],post,2
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.","['reiterated ""Outperform"" rating']",BRCM,0.521,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,['trading at all-time high'],ISRG,0.729,['Stock/Price Action/Current Price/52-Week High'],post,0
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,['New RSI signal created on $COST - Buy at 148.78'],COST,0.497,['Stock/Signal/Buy Signal'],post,0
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,['Big Money Is Pouring Into'],FB,0.645,['Stock/Price Action/Bullish'],post,0
CompaniesKingfisher bid for Mr Bricolage runs into trouble,['bid for Mr Bricolage runs into trouble'],Mr Bricolage,-0.253,['Corporate/M&A/Proposed Merger'],headline,2
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,['wayyy overvalued right now IMO'],YELP,-0.451,['Stock/Price Action/Current Price/Overbought'],post,2
Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,['will challendge 200-EMA in not distant future'],FMS,0.221,['Stock/Technical Analysis'],post,0
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,['@barronsonline sees #Apple at $150/share in a year'],AAPL,0.408,['Stock/Coverage'],post,0
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,['Bounce Player!'],ARIA,0.383,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,['did not break 10.40 coz I was told that is key support level.'],BBRY,0.145,['Stock/Price Action'],post,0
CompaniesAB InBev signals it won't go hostile for SABMiller,['signals it won't go hostile'],SAB Miller,0.107,['Corporate/Rumors/Scoop'],headline,0
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz","['recalls 2,700 Model X SUVs']",TSLA,-0.367,['Corporate/Risks/Product Recall'],post,2
$GOOGL gets an upgrade price target $970,['gets an upgrade price target'],GOOGL,0.47,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"$AAPL double bottom could be in, keep in mind",['double bottom could be in'],AAPL,0.271,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"Tesco, Asda sales fall as march of the discounters continues-Kantar",['Asda sales fall as march of the discounters continues'],Asda,-0.356,['Corporate/Sales/Demand Shortfall'],headline,2
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,['reiterates annual outlook after tough 2014'],Meggitt,0.021,['Stock/Fundamentals'],headline,1
Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,['sales numbers still holding up so well'],SKS,0.315,['Corporate/Sales'],post,0
$SPY weak close,['weak close'],SPY,-0.297,['Stock/Price Action/Bearish'],post,2
Bilfinger Industrial Services win ÃÂ£100m BP contract extension,['win ÃÂ£100m BP contract extension'],BP,0.113,['Corporate/Sales/Deal'],headline,0
BHP Billiton share price: Brazil to sue Samarco for ÃÂ£3.5bn,['Brazil to sue Samarco for ÃÂ£3.5bn'],Samarco,-0.637,['Corporate/Legal/Lawsuit'],headline,2
"FDA approves NPS drug, in move validating Shire takeover deal",['validating Shire takeover deal'],Shire,0.332,['Corporate/M&A/Proposed Merger'],headline,0
Amazon to attack UK grocery market with Morrisons deal,['to attack UK grocery market'],Morrisons,0.333,['Market/Market/Market Outlook'],headline,0
Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,['Interest Heats Up for'],YHOO,0.413,['Corporate/Rumors/Rumors'],post,0
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,['A close above here is looking good for the bulls'],NFLX,0.578,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Relief for Lewis as Tesco sees sales grow for first time in a year,['sees sales grow'],Tesco,0.42,['Corporate/Sales'],headline,0
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",['FTSE 100 drops 2.5 pct'],Glencore,-0.597,['Stock/Price Action'],headline,2
CRH adds CR Laurence to acquisitions tally for $1.3bn,['adds CR Laurence to acquisitions tally for $1.3bn'],CRH,0.231,['Corporate/M&A/M&A'],headline,0
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,['Bottom Pickers continue to get destroyed'],MCP,-0.607,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",['Increases Quarterly Cash Dividend'],QCOR,0.576,['Corporate/Dividend Policy'],post,0
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,['to Ensure Compliance After Petrobras Bribery Report'],Rolls-Royce,-0.075,['Corporate/Legal/Court Ruling'],headline,1
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,['breaks another down trend and continues higher'],EXPE,0.536,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Glencore Studies Possible IPO for Agricultural Trading Business,['Possible IPO for Agricultural Trading Business'],Glencore,0.408,['Stock/IPO'],headline,0
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,['Got sell signal'],AMRN,-0.431,['Stock/Signal/Sell Signal'],post,2
Kingfisher share price slides on cost to implement new strategy,['share price slides on cost to'],Kingfisher,-0.786,['Stock/Price Action'],headline,2
$GTE LONG at 7.44,['LONG at'],GTE,0.732,['Stock/Price Action/Bullish/Bull Position'],post,0
Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,['Stocks Rally'],TSCO,0.248,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,['Analysts impressed with progress'],TSLA,0.474,['Stock/Coverage/AnalystRatings'],post,0
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",['they are all poised to breakout.'],ARIA,0.5,['Stock/Technical Analysis/Breakout'],post,0
Shell and BG Shareholders to Vote on Deal at End of January,['Shareholders to Vote on Deal at End of January'],Shell,0.0,['Corporate/Sales/Deal'],headline,1
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,['announces a recall'],TSLA,0.213,['Corporate/Risks/Product Recall'],post,0
AstraZeneca shares climb 3% as drug maker ups profits forecasts,['shares climb 3% as drug maker ups profits forecasts'],AstraZeneca,0.64,"['Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings']",headline,0
$CTRP not a bad long chart now that it's through sma100 resistance.,"[""it's through sma100 resistance""]",CTRP,0.498,['Stock/Technical Analysis'],post,0
$IBIO  up 10% in premarket ready for lift off,['up 10% in premarket'],IBIO,0.507,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
StanChart and RBS struggle in Bank of England stress tests,['RBS struggle in Bank of England stress tests'],RBS,-0.738,['Economy/Central Banks'],headline,2
"Centrica extends gas deals with Gazprom, Statoil",['extends gas deals'],Gazprom,0.199,['Corporate/Sales/Deal'],headline,0
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,['take-over interest'],RA,0.396,['Corporate/M&A/M&A'],post,0
Tesco leads leap in FTSE 100; Marks & Spencer drops,['Tesco leads leap in FTSE 100; '],Tesco,0.389,['Stock/Technical Analysis/Trend/Trending up'],headline,0
End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,['Stochastic Overbought'],LPG,-0.385,['Stock/Technical Analysis'],post,2
SABMiller buys Meantime to quench thirst for craft beer,['buys Meantime'],SABMiller,0.296,['Corporate/M&A/Proposed Merger'],headline,0
$INVE : SEE YA ABOVE $8,['SEE YA ABOVE $8'],INVE,0.502,['Stock/Price Action/Bullish'],post,0
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,['getting through the 100 and 200 MA could see it run.'],T,0.655,['Stock/Price Action/Bullish'],post,0
Out of shorts $ALTR at 38.85 with loss,['Out of shorts'],ALTR,0.372,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"$KO had missed earnings expectations for the last two quarters, so todayâs strong results came as a major surprise http://stks.co/d0RHF",['so todayâs strong results came as a major surprise'],KO,0.338,['Corporate/Financial/Financial Results/Earnings/Earnings Beat'],post,0
Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,['Indicator signaled a Oversold'],FB,0.324,['Stock/Price Action/Current Price/Oversold'],post,0
$FB gone green on day,['gone green on day'],FB,0.476,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,['CRH backs Lafarge Holcim asset buy'],Lafarge Holcim,0.365,['Corporate/Strategy/Share Buyback'],headline,0
L&G completes UK's largest medically underwritten bulk pension risk deal,['completes UK's largest medically underwritten bulk pension risk dea'],L&G,0.25,['Corporate/Risks'],headline,0
G4S slides on balance sheet worries,['slides on balance sheet worries'],G4S,-0.593,['Corporate/Risks'],headline,2
"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",['Receive Dividend Hike Green Light'],PNC,0.316,['Corporate/Dividend Policy'],post,0
HSBC appoints business leaders to board,['appoints business leaders to board'],HSBC,0.154,['Corporate/Appointment'],headline,0
Added long at friday close  $SPY $LABU $BLUE $AMZN,['Added long at friday close'],SPY,0.513,['Stock/Price Action/Bullish/Bull Position'],post,0
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,['Peroni and Grolsch put up for sale as '],SABMiller,0.551,['Corporate/Sales/Sales'],headline,0
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,['will pull back'],CPIX,-0.231,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$FB they are hitting  everything in sight.short it. but twtr,['they are hitting everything in sight.short it'],FB,-0.504,['Stock/Price Action/Bearish'],post,2
AB InBev looks to win over SABMiller investors,['looks to win over SABMiller investors'],SABMiller,0.276,['Corporate/M&A/Proposed Merger'],headline,0
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,"[""That's an impressive bearish move""]",FB,-0.39,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,['Q1 disappoints as #software licenses down'],SAP,-0.431,['Corporate/Financial/Financial Results/Earnings/Financial Results'],post,2
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,['sells rare cancer drug to Sanofi'],Sanofi,0.258,['Corporate/Sales/Deal'],headline,0
$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,['stock gaining steam'],TSLA,0.349,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Long $GPRO for a brealout trade,['Long'],GPRO,0.594,['Stock/Price Action/Bullish/Bull Position'],post,0
$TSLA yeah lets go down to 230s lol,['yeah lets go down to 230s lol'],TSLA,-0.355,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,['share price dips'],Blinkbox,-0.357,['Stock/Price Action'],headline,2
$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,['if we can find support around 243.39 and pop up'],TSLA,-0.485,['Stock/Price Action/Bullish'],post,2
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,['to buy Baxalta for $32 billion after 6-month pursuit'],Shire,0.437,['Corporate/M&A/M&A'],headline,0
Shell offers 50 percent premium to buy BG for $70 billion,['offers 50 percent premium to buy'],Shell,0.193,['Corporate/M&A/M&A'],headline,0
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],SPY,-0.342,['Stock/Fundamentals/Short Interest Rate'],post,2
Shire Sees Baxalta Deal Closing as Expected After New Rules,['Sees Baxalta Deal Closing as Expected'],Shire,0.224,['Corporate/Sales/Deal'],headline,0
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,['to Buy Anaesthetics From AstraZeneca for $520 Million'],AstraZeneca,0.395,['Corporate/M&A/M&A'],headline,0
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,['Get ready for the bull ride!'],FREE,0.538,['Stock/Price Action/Bullish'],post,0
$GS sells flat..I am out..,['sells flat..I am out..'],GS,-0.541,['Stock/Price Action/Bearish'],post,2
Why $MCD looks set to fall further. http://stks.co/f2fgj,['looks set to fall further'],MCD,-0.545,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",['to Buy Barclay's Wealth Management Unit'],OCBC,0.257,['Corporate/M&A/M&A'],headline,0
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",['rumor this morning had them spinning off'],MSFT,0.594,['Corporate/Rumors/Rumors'],post,0
$AMD big dumping... would not touch it for a while,['big dumping... would not touch it for a while'],AMD,-0.699,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",HAL,0.054,['Stock/Price Action/Bullish/Bullish Behavior'],post,1
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","['Britain's FTSE outperforms Europe, Royal Mail and Tesco rise']",Tesco,0.439,['Market/Volatility/Volatility'],headline,0
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",['rumors to be realistic'],ENDP,0.422,['Corporate/Rumors'],post,0
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",['says conditions to remain challenging'],Aberdeen AM,-0.364,['Market/Conditions'],headline,2
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,['Markets Are Still Acting Weak'],XLF,-0.443,['Stock/Price Action'],post,2
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,['Increases Annual Dividend Target'],LNT,0.324,['Corporate/Dividend Policy'],post,0
Tesco share price jumps as Q3 sales top estimates,['share price jumps'],Tesco,0.719,['Stock/Price Action'],headline,0
Sophos aims to raise $100m in London IPO,['raise $100m in London IPO'],Sophos,0.214,['Stock/IPO'],headline,0
$FTI Breakout today after reporting earnings last night,['Breakout today'],FTI,0.554,['Stock/Technical Analysis/Breakout'],post,0
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,['Poised to Pop'],BONE,0.432,['Stock/Price Action/Bullish'],post,0
$SBUX heading for the 200DMA and certain doom if it can not hold there.,['heading for the 200DMA'],SBUX,-0.437,['Corporate/Technical Analysis'],post,2
$AAPL Nice RSI 33 bounce at 9:58,['Nice RSI 33 bounce'],AAPL,0.291,['Stock/Technical Analysis'],post,0
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",['this erases all of todays gains'],QCOR,-0.169,['Stock/Price Action/Bearish'],post,2
$BAC $ADSK $NFLX long this morning,['long this morning'],NFLX,0.476,['Stock/Price Action/Bullish/Bull Position'],post,0
$FB still a dog going much lower this week,['still a dog going much lower this week'],FB,-0.554,['Stock/Price Action/Bearish'],post,2
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,['options trade would have more than doubled your money'],BBBY,0.294,['Stock/Options'],post,0
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",['completes acquisition of'],ICOA,0.451,['Corporate/M&A/M&A'],post,0
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,['Being very tender with cash due to volatility'],GILD,0.153,['Market/Volatility],post,0
$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,['early technical BUY signal'],VRTX,0.464,['Stock/Signal/Buy Signal'],post,0
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,['Delivers 2.9% Underlying Net Income Growth'],MillerCoors,0.495,['Stock/Fundamentals'],headline,0
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,['Entering long'],LMT,0.627,['Stock/Price Action/Bullish/Bull Position'],post,0
Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,['Flagged As Strong On High Volume'],EXAS,0.385,['Stock/Price Action/Bullish'],post,0
FDA approves AstraZeneca drug for advanced lung cancer,['FDA approves AstraZeneca'],AstraZeneca,0.507,['Corporate/Regulatory'],headline,0
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ","[""Stock Climbs as Barron's Sees 40% Upside""]",AAPL,0.517,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,['merger would signal end to'],LSE,0.105,['Corporate/M&A/M&A'],headline,0
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,['up pre mkt.'],MFLX,-0.412,['Stock/Price Action/Bullish/Bullish Behavior'],post,2
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,['bearish charts keep getting worse.'],NKE,-0.619,['Stock/Technical Analysis'],post,2
$KCG bot at 2.24,['bot at 2.24'],KCG,0.384,['Stock/Price Action/Bullish/Bull Position'],post,0
"$QCOR Just added 3,000 shares @28.","['Just added 3,000 shares']",QCOR,0.73,['Stock/Price Action/Bullish/Bull Position'],post,0
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,['Covered my small $MWW short'],MWW,0.348,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$aapl news is becoming very bullish again http://stks.co/tMU,['news is becoming very bullish again'],AAPL,0.526,['Stock/Price Action/Bullish'],post,0
$EFUT hod  posted buy pm at $4.40,['hod poste'],EFUT,0.354,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","['Barclays, Shell Fall']",Shell,-0.508,['Stock/Price Action/Bearish/Bearish Behaviour'],headline,2
long $AAPL 107 calls @ .40,['long'],AAPL,0.613,['Stock/Price Action/Bullish/Bull Position'],post,0
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",['Red Daily Triangle'],SHOR,0.661,['Stock/Technical Analysis'],post,0
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,['Embrace Dividend Growth'],WYN,0.284,['Corporate/Dividend Policy'],post,0
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",['Sell Short Position on'],CNP,0.155,['Stock/Price Action/Volatility/Short Selling'],post,0
"$NFLX small pos, short 180 wkly puts.","['small pos, short 180 wkly puts.']",NFLX,-0.597,['Stock/Options/Strategies/Bear Put Spread'],post,2
Look at that $AMZN > 600,['Look at that $AMZN > 600'],AMZN,0.326,['Stock/Price Action/Bullish'],post,0
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,['Starbucks downgraded'],SBUX,-0.46,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
UPDATE 1-Pearson expects to grow this year after solid end to 2014,['to grow this year after solid end to 2014'],Pearson,0.446,['Stock/Fundamentals'],headline,0
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['drive markets higher'],Ashtead,0.514,['Market/Market'],headline,0
$AAPL wants lower. up waves getting smaller on the 2 min,['wants lower. up waves getting smaller'],AAPL,-0.37,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",['Chasing Standard Chartered'],Standard Chartered,0.128,['Corporate/Strategy/Corporate Planning'],headline,0
Long $X 24.62,['Long'],X,0.601,['Stock/Price Action/Bullish/Bull Position'],post,0
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,['to Pay Inovio Up to $700 Million for Cancer Drug'],Inovio,0.33,['Corporate/Sales/Deal'],headline,0
"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",['optimism about iPhone sales'],AAPL,0.279,['Corporate/Sales'],post,0
London Stock Exchange Ã¢â¬â Deutsche Boerse merger under threat from Brexit,['Deutsche Boerse merger under threat'],London Stock Exchange,-0.421,['Corporate/M&A/M&A'],headline,2
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,['Target $15 plus on a close over $13.50 on better than avg daily Volume'],ZAGG,0.385,['Stock/Price Action/Bullish'],post,0
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,['says to partner with Kirin if'],SABMiller,0.577,['Corporate/Sales/Partnership'],headline,0
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,['shipments on track to exceed forecasts'],AAPL,0.367,['Corporate/Sales'],post,0
Goodwin not to face Scottish prosecution over RBS,['not to face Scottish prosecution over RBS'],RBS,0.114,['Corporate/Legal'],headline,0
"$AMZN trades in mid to upper range. No break out yet, either direction","['No break out yet, either direction']",AMZN,0.059,['Stock/Price Action'],post,1
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",['steep global sales increase'],CAT,0.586,['Corporate/Sales'],post,0
InterContinental Hotels Group share price climbs on $1.5bn special dividend,['$1.5bn special dividend'],InterContinental Hotels Group,0.631,['Corporate/Dividend Policy'],headline,0
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,['Has broken its downtrend'],AAPL,0.222,['Stock/Price Action/Bullish'],post,0
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,['Tagrisso Gets FDA Approval'],AstraZeneca,0.393,['Corporate/Appointment'],headline,0
$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,['Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report.'],NFLX,0.577,['Stock/Price Action/Bullish'],post,0
